title,sub,start,end,side
Japon,I guerra,1880,1895,1
WWI,,1914,1918,1
KMT vs CPC,,1927,1931,1
Japon,menor,1931,1937,1
Japon,II guerra,1937,1937,1
WWII,,1937,1945,1
Japon,II guerra,1945,1946,1
KMT vs CPC,cont.,1946,1950,1
Colegio,Ica,1940,1946,0
4to 5to sec.,Colegio Lima+AC0-San Carlos,1946,1948,0
Profesor,Lima,1948,1949,0
Pre+AC0-medicas,Trujillo,1949,1950,0
UNMSM,Medicina Humana,1950,1959,0
Investigacion,Dr. Riegg (Copenaghe),1963,1965,0
Cancer,Leucemia,1965,1966,0
Docencia,Hospital del Ni+APE-o,1966,1991,0
Abuelo,De 5 nietos+ACE-,1991,2017,0
